1587438437476|0|statement|connection 4|url jdbc:p6spy:mysql://127.0.0.1:3306/jeecg-boot?characterEncoding=UTF-8&useUnicode=true&useSSL=false&tinyInt1isBit=false&serverTimezone=UTC|SELECT COUNT(TRIGGER_NAME) FROM QRTZ_TRIGGERS WHERE SCHED_NAME = 'quartzScheduler' AND NOT (MISFIRE_INSTR = -1) AND NEXT_FIRE_TIME < ? AND TRIGGER_STATE = ?|SELECT COUNT(TRIGGER_NAME) FROM QRTZ_TRIGGERS WHERE SCHED_NAME = 'quartzScheduler' AND NOT (MISFIRE_INSTR = -1) AND NEXT_FIRE_TIME < 1587438377475 AND TRIGGER_STATE = 'WAITING'
1587438437476|0|commit|connection 4|url jdbc:p6spy:mysql://127.0.0.1:3306/jeecg-boot?characterEncoding=UTF-8&useUnicode=true&useSSL=false&tinyInt1isBit=false&serverTimezone=UTC||
1587438437477|0|statement|connection 3|url jdbc:p6spy:mysql://127.0.0.1:3306/jeecg-boot?characterEncoding=UTF-8&useUnicode=true&useSSL=false&tinyInt1isBit=false&serverTimezone=UTC|SELECT TRIGGER_NAME, TRIGGER_GROUP, NEXT_FIRE_TIME, PRIORITY FROM QRTZ_TRIGGERS WHERE SCHED_NAME = 'quartzScheduler' AND TRIGGER_STATE = ? AND NEXT_FIRE_TIME <= ? AND (MISFIRE_INSTR = -1 OR (MISFIRE_INSTR != -1 AND NEXT_FIRE_TIME >= ?)) ORDER BY NEXT_FIRE_TIME ASC, PRIORITY DESC|SELECT TRIGGER_NAME, TRIGGER_GROUP, NEXT_FIRE_TIME, PRIORITY FROM QRTZ_TRIGGERS WHERE SCHED_NAME = 'quartzScheduler' AND TRIGGER_STATE = 'WAITING' AND NEXT_FIRE_TIME <= 1587438467473 AND (MISFIRE_INSTR = -1 OR (MISFIRE_INSTR != -1 AND NEXT_FIRE_TIME >= 1587438377475)) ORDER BY NEXT_FIRE_TIME ASC, PRIORITY DESC
1587438437477|0|commit|connection 3|url jdbc:p6spy:mysql://127.0.0.1:3306/jeecg-boot?characterEncoding=UTF-8&useUnicode=true&useSSL=false&tinyInt1isBit=false&serverTimezone=UTC||
1587438438908|0|statement|connection 3|url jdbc:p6spy:mysql://127.0.0.1:3306/jeecg-boot?characterEncoding=UTF-8&useUnicode=true&useSSL=false&tinyInt1isBit=false&serverTimezone=UTC|/* ping */ SELECT 1|/* ping */ SELECT 1
1587438448945|1|statement|connection 3|url jdbc:p6spy:mysql://127.0.0.1:3306/jeecg-boot?characterEncoding=UTF-8&useUnicode=true&useSSL=false&tinyInt1isBit=false&serverTimezone=UTC|SELECT COUNT(1) FROM sys_user WHERE del_flag = '0'|SELECT COUNT(1) FROM sys_user WHERE del_flag = '0'
1587438448961|1|statement|connection 3|url jdbc:p6spy:mysql://127.0.0.1:3306/jeecg-boot?characterEncoding=UTF-8&useUnicode=true&useSSL=false&tinyInt1isBit=false&serverTimezone=UTC|SELECT  id,username,realname,password,salt,avatar,birthday,sex,email,phone,org_code,status,del_flag,work_no,post,telephone,create_by,create_time,update_by,update_time,activiti_sync,identity,depart_ids  FROM sys_user   WHERE  del_flag='0'   ORDER BY create_time DESC LIMIT ?,?|SELECT  id,username,realname,password,salt,avatar,birthday,sex,email,phone,org_code,status,del_flag,work_no,post,telephone,create_by,create_time,update_by,update_time,activiti_sync,identity,depart_ids  FROM sys_user   WHERE  del_flag='0'   ORDER BY create_time DESC LIMIT 0,10
1587438448977|1|statement|connection 3|url jdbc:p6spy:mysql://127.0.0.1:3306/jeecg-boot?characterEncoding=UTF-8&useUnicode=true&useSSL=false&tinyInt1isBit=false&serverTimezone=UTC|select d.depart_name,ud.user_id from sys_user_depart ud,sys_depart d where d.id = ud.dep_id and ud.user_id in 		 (   			? 		 ,  			? 		 ,  			? 		 ,  			? 		 ,  			? 		 )|select d.depart_name,ud.user_id from sys_user_depart ud,sys_depart d where d.id = ud.dep_id and ud.user_id in 		 (   			'e9ca23d68d884d4ebb19d07889727dae' 		 ,  			'f0019fdebedb443c98dcb17d88222c38' 		 ,  			'1248996265909141506' 		 ,  			'a75d45a015c44384a04449ee80dc3503' 		 ,  			'42d153bffeea74f72a9c1697874fa4a7' 		 )
1587438464216|2|statement|connection 3|url jdbc:p6spy:mysql://127.0.0.1:3306/jeecg-boot?characterEncoding=UTF-8&useUnicode=true&useSSL=false&tinyInt1isBit=false&serverTimezone=UTC|SELECT COUNT(1) FROM ask_for_leave|SELECT COUNT(1) FROM ask_for_leave
1587438464257|1|statement|connection 3|url jdbc:p6spy:mysql://127.0.0.1:3306/jeecg-boot?characterEncoding=UTF-8&useUnicode=true&useSSL=false&tinyInt1isBit=false&serverTimezone=UTC|INSERT INTO sys_log  ( id, create_by, create_time, cost_time, ip, method, username, userid, log_content, log_type, operate_type )  VALUES  ( ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ? )|INSERT INTO sys_log  ( id, create_by, create_time, cost_time, ip, method, username, userid, log_content, log_type, operate_type )  VALUES  ( '1252433810812088322', 'admin', '2020-04-21T11:07:44.241+0800', 16, '127.0.0.1', 'org.jeecg.modules.demo.askforleave.controller.AskForLeaveController.queryPageList()', '管理员', 'admin', '请假发起表-分页列表查询', 2, 1 )
